Nama Petshop,Alamat,No WA,Mitra,Kota,Google Maps Link,Latitude,Longitude,Distributor,Kurir
Hiro Cat Shop,"Pagambiran Ampalu Nan XX, Kec. Lubuk Begalung, Kota Padang",628123456789051,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Hiro%20Cat%20Shop%20Padang,-0.9478,100.4172,Pusat,
Talago Petshop Balai Baru,"Jl. Raya Balai Baru No.16, Sungai Sapih, Kuranji, Padang",6281266662205,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Talago%20Petshop%20Balai%20Baru%20Padang,-0.9478,100.4172,Pusat,
Talago Petshop Lubuk Minturun,"Jl. Lubuk Minturun No.8, Koto Panjang Ikua Koto, Koto Tangah",628123456789053,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Talago%20Petshop%20Lubuk%20Minturun%20Padang,-0.9478,100.4172,Pusat,
Danbo Catshop,"Jl. Raya Siteba No.34, Surau Gadang, Nanggalo, Padang",628123456789054,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Danbo%20Catshop%20Padang,-0.9478,100.4172,Pusat,
Gatri Vet & Petshop,"Bypass km 10, Pilakuik, Gn. Sarik, Kec. Kuranji, Kota Padang",6281266706559,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Gatri%20Vet%20%26%20Petshop%20Padang,-0.9478,100.4172,Pusat,
Yunna Petshop,"Jl. Jeruk Raya No.27, Kuranji, Kec. Kuranji, Kota Padang",628123456789056,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Yunna%20Petshop%20Padang,-0.9478,100.4172,Pusat,
Milenia Petshop,"Gunung Pangilun, Padang Utara, Kota Padang",628126723771,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Milenia%20Petshop%20Padang,-0.9478,100.4172,Pusat,
Davi Catshop,"Jl. Gajah Mada Dalam No.14, Kp. Olo, Kec. Nanggalo, Kota Padang",6281261570049,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Davi%20Catshop%20Padang,-0.9478,100.4172,Pusat,
Firyanda Petshop,"JI. Kurao Pagan, Kec. Nanggalo, Padang",628123456789059,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Firyanda%20Petshop%20Padang,-0.9478,100.4172,Pusat,
Cipta Petshop,"JI. Sutan Syahrir No 33, Sebrang Padang",628123456789060,Ya,Padang,https://www.google.com/maps/search/?api=1&query=Cipta%20Petshop%20Padang,-0.9478,100.4172,Pusat,
Transpet Jakarta,"Jl. Swatantra No.168, Jatirasa, Kec. Jatiasih, Kota Bekasi",628123456789061,Ya,Bekasi,https://www.google.com/maps/search/?api=1&query=Transpet%20Jakarta%20Bekasi,-6.2383,106.9756,Pusat,
Rovver Paw Petshop Cileungsi,"Metland Transyogi, Cileungsi Kidul, Kec. Cileungsi, Bogor",6288975628402,Ya,Bogor,https://www.google.com/maps/search/?api=1&query=Rovver%20Paw%20Petshop%20Cileungsi%20Bogor,-6.5971,106.806,Pusat,
